level,health,attack,defense,magic
1,202787650,115501005,45458938,32593778
2,210104660,119664215,47060987,33714471
3,217846305,124069025,48756006,34900201
4,223035455,128728460,50549008,36154474
5,234696025,133656120,52445225,37480949
6,243852935,54450117,138866190,38883446
7,253532185,144373450,56569373,40365945
8,263760815,150193305,58808915,41932589
9,274566940,156341735,61174899,43587684
10,285979745,162835350,63673714,45335699
11,298029470,169691360,66311981,47181266
12,310747410,176927570,69096553,49129179
13,324165880,184562365,72034505,51184387
14,338318195,192614700,72133132,53351993
15,353238630,201104075,78399937,55637247
16,368962365,210050510,81842624,58045535
17,385525420,219474500,85469077,60582376
18,402964575,229396965,89287352,63253403
19,421317290,239839230,93305650,66064353
20,440621595,250822925,97532296,69021051
21,460915950,262369935,101975711,72129388
22,482239120,274502320,106644385,75395300
23,504630010,287242205,111546834,78824748
24,528127480,300611715,116691567,82423683
25,552770150,314632815,122087040,86198019
26,578596165,329327210,127741604,90153599
27,605642965,344716205,133663457,94296158
28,633947010,360820540,139860582,98631280
29,663543485,377660235,146340682,103164354
30,694466005,395254425,153111118,107900529
31,729746280,413621140,160178832,112844661
32,760413765,432777145,167550273,118001261
33,795495280,452737705,175231314,123374438
34,832014665,473516375,183227174,128967843
35,869992355,495124785,191542328,134784606
36,909444995,517572410,200180419,140827276
37,950385035,540866335,209144175,147097761
38,992820340,565011025,218435316,153597263
39,1036753770,590008110,228054470,160326223
40,1082182820,615856170,238001086,167284256
41,1129099245,642550515,248273362,174470099
42,1177488735,670082995,258868162,181881560
43,1227330590,698441840,269780956,189515470
44,1278597490,727611500,281005760,197367643
45,1331255240,757572520,292535090,205432843
46,1385262645,304359923,788301465,213704759
47,1440571385,819770835,316469683,222175991
48,1497126005,851949080,328852224,230838045
49,1554863925,884800600,341493849,239681337
50,1613715600,918285820,354379328,248695214
51,1673604685,952361300,367491945,257867984
52,1734448325,986979900,380813562,267186956
53,1796157530,1022090985,394324692,276638500
54,1858637590,1057640670,408004600,286208111
55,1921788625,1093572125,421831417,295880489
56,1985506155,1129825900,435782267,305639634
57,2049681765,1166340315,449833413,315468939
58,2114203820,1203051845,463960413,325351307
59,2178958225,1239895580,478138285,335269262
60,2243829225,1276805650,492341684,345205074
61,2308700220,1313715720,506545084,355140887
62,2373454625,1350559455,520722956,365058842
63,2437976680,1387270985,534849956,374941210
64,2502152290,1423785400,548901102,384770515
65,2565869820,1460039175,562851952,394529660
66,2629020855,1495970630,576678769,404202038
67,2691500920,1531520315,590358677,413771649
68,2753210120,1566631400,603869807,423223193
69,2814053765,1601250000,617191424,432542165
70,2873942845,1635325480,630304041,441714934
71,2932794520,1668810700,643189520,450728812
72,2990532445,1701662220,655831145,459572104
73,3047087060,1733840465,668213686,468234158
74,3102395800,1765309835,680323446,476705390
75,3102395800,1765309835,680323446,476705390
76,3345787400,1903801105,733677176,514075944
77,3594148275,2045119780,788118922,552207606
78,3847186870,2189099965,843584848,591055721
79,4104610445,2335575100,900010857,630575450
80,4366126960,2484378020,957333009,670722065
81,4631446855,2635346975,1015487904,711451215
82,4900284640,2788315530,1074413037,752719175
83,5172360400,2943128410,1134047118,794483071
84,5447401050,3099627250,1194330350,836701078
85,5725141525,3256662220,1255204720,879332597
86,6005325715,3417087610,1316614129,922338402
87,6287707305,3577763270,1378504655,965680766
88,6572050435,3739555000,1440824658,1009323565
89,6858130220,3902334840,1503524897,1053232354
90,7145733115,4065981300,1566558620,1097374428
91,7434657185,4230379475,1629881611,1141718856
92,7724712225,4395421150,1693452227,1186236506
93,8015719790,4561004785,1757231397,1230900048
94,8307513130,4727035505,1821182611,1275683940
95,8599937020,4893424985,1885271882,1320564410
96,8892847555,5060091375,1949467704,1365519415
97,9186111845,5226959035,2013740980,1410528602
98,9479607685,5393958440,2078064953,1455573254
99,9773223160,5561025915,2142415121,1500636230
100,10066856245,5728103410,2206769144,1545701903
101,13063889090,5778103410,2272489817,1622201005
102,16060921935,5828103410,2338210491,1698700107
103,19057954780,5878103410,2406931164,1775199209
104,22054987625,5928103410,2469651837,1851698311
105,25052020470,5978103410,2535372511,1928197413
106,28049053310,6028103410,2601093184,2004696514
107,31046086155,6078103410,2666813857,2081195616
108,31046086155,6078103410,2666813857,2081195616
109,31046086155,6078103410,2666813857,2081195616
110,31046086155,6078103410,2666813857,2081195616
111,31046086155,6078103410,2666813857,2081195616
112,31046086155,6078103410,2666813857,2081195616
113,31046086155,6078103410,2666813857,2081195616
114,31046086155,6078103410,2666813857,2081195616
115,31046086155,6078103410,2666813857,2081195616
116,31046086155,6078103410,2666813857,2081195616
117,31046086155,6078103410,2666813857,2081195616
118,31046086155,6078103410,2666813857,2081195616
119,31046086155,6078103410,2666813857,2081195616
120,31046086155,6078103410,2666813857,2081195616
